Test Name,Data Size,Accuracy,Max Metric,Min Metric
GradientBoostingClassifier,100,0.4591,0.735,0.221
CatBoostClassifier,100,0.6428,0.735,0.221
DecisionTreeClassifier,100,0.1421,0.735,0.221
AdaBoostClassifier,100,0.2534,0.735,0.221
ExtraTreesClassifier,100,0.678,0.735,0.221
QuadraticDiscriminantAnalysis,100,0.228,0.735,0.221
LGBMClassifier,100,0.5929,0.735,0.221
Dense_128,100,0.6511,0.735,0.221
Conv2D_32,100,0.6712,0.735,0.221
GradientBoostingClassifier,200,0.5893,0.867,0.247
CatBoostClassifier,200,0.7088,0.867,0.247
DecisionTreeClassifier,200,0.146,0.867,0.247
AdaBoostClassifier,200,0.336,0.867,0.247
ExtraTreesClassifier,200,0.7597,0.867,0.247
QuadraticDiscriminantAnalysis,200,0.1764,0.867,0.247
LGBMClassifier,200,0.7053,0.867,0.247
Dense_128,200,0.7301,0.867,0.247
Conv2D_32,200,0.764,0.867,0.247
GradientBoostingClassifier,1000,0.8482,0.955,0.715
CatBoostClassifier,1000,0.8354,0.955,0.715
DecisionTreeClassifier,1000,0.1993,0.955,0.715
AdaBoostClassifier,1000,0.477,0.955,0.715
ExtraTreesClassifier,1000,0.896,0.955,0.715
QuadraticDiscriminantAnalysis,1000,0.1494,0.955,0.715
LGBMClassifier,1000,0.8679,0.955,0.715
Dense_128,1000,0.8792,0.955,0.715
Conv2D_32,1000,0.9022,0.955,0.715
GradientBoostingClassifier,2000,0.88,0.973,0.782
CatBoostClassifier,2000,0.8666,0.973,0.782
DecisionTreeClassifier,2000,0.1405,0.973,0.782
AdaBoostClassifier,2000,0.4498,0.973,0.782
ExtraTreesClassifier,2000,0.923,0.973,0.782
QuadraticDiscriminantAnalysis,2000,0.1683,0.973,0.782
LGBMClassifier,2000,0.9016,0.973,0.782
Dense_128,2000,0.9099,0.973,0.782
Conv2D_32,2000,0.9369,0.973,0.782
GradientBoostingClassifier,5000,0.9121,0.978,0.844
CatBoostClassifier,5000,0.8911,0.978,0.844
DecisionTreeClassifier,5000,0.18,0.978,0.844
AdaBoostClassifier,5000,0.4474,0.978,0.844
ExtraTreesClassifier,5000,0.9431,0.978,0.844
QuadraticDiscriminantAnalysis,5000,0.1718,0.978,0.844
LGBMClassifier,5000,0.9354,0.978,0.844
Dense_128,5000,0.9401,0.978,0.844
Conv2D_32,5000,0.9633,0.978,0.844
GradientBoostingClassifier,10000,0.9245,0.984,0.879
CatBoostClassifier,10000,0.9004,0.984,0.879
DecisionTreeClassifier,10000,0.1984,0.984,0.879
AdaBoostClassifier,10000,0.4871,0.984,0.879
ExtraTreesClassifier,10000,0.9524,0.984,0.879
QuadraticDiscriminantAnalysis,10000,0.2153,0.984,0.879
LGBMClassifier,10000,0.9501,0.984,0.879
Dense_128,10000,0.9533,0.984,0.879
Conv2D_32,10000,0.9747,0.984,0.879
CatBoostClassifier,20000,0.9092,0.986,0.906
DecisionTreeClassifier,20000,0.1987,0.986,0.906
AdaBoostClassifier,20000,0.5111,0.986,0.906
ExtraTreesClassifier,20000,0.9584,0.986,0.906
QuadraticDiscriminantAnalysis,20000,0.2494,0.986,0.906
LGBMClassifier,20000,0.9634,0.986,0.906
Dense_128,20000,0.9681,0.986,0.906
Conv2D_32,20000,0.9804,0.986,0.906
GradientBoostingClassifier,60000,0.9458,0.986,0.914
CatBoostClassifier,60000,0.9148,0.986,0.914
DecisionTreeClassifier,60000,0.1994,0.986,0.914
AdaBoostClassifier,60000,0.5431,0.986,0.914
ExtraTreesClassifier,60000,0.9665,0.986,0.914
QuadraticDiscriminantAnalysis,60000,0.1558,0.986,0.914
LGBMClassifier,60000,0.9715,0.986,0.914
Dense_128,60000,0.9791,0.986,0.914
Conv2D_32,60000,0.9878,0.986,0.914
