iter	MultiClass
0	2.253037365
1	2.201811959
2	2.165031028
3	2.135714491
4	2.091056969
5	2.053976725
6	2.010655953
7	1.977050604
8	1.928632285
9	1.886871385
10	1.854333955
11	1.811842479
12	1.7582345
13	1.722475322
14	1.68473339
15	1.646840795
16	1.610064285
17	1.57387606
18	1.549445635
19	1.515699579
20	1.488739538
21	1.451396788
22	1.431931736
23	1.414799512
24	1.387775713
25	1.361179045
26	1.329087257
27	1.306692675
28	1.293731511
29	1.276346351
30	1.255680133
31	1.236073868
32	1.21914541
33	1.197298184
34	1.173676071
35	1.15060166
36	1.131724762
37	1.114817393
38	1.091764498
39	1.071148807
40	1.052887383
41	1.039883071
42	1.02554539
43	1.004212159
44	0.9921481435
45	0.9749402484
46	0.9529936833
47	0.9286661592
48	0.9089079728
49	0.8962208535
50	0.8763340015
51	0.8663267264
52	0.8530793656
53	0.8428838289
54	0.827347592
55	0.813321371
56	0.7960634802
57	0.7829840849
58	0.7723224697
59	0.7641851404
60	0.759201006
61	0.7458432518
62	0.7345851641
63	0.721300231
64	0.7124187805
65	0.7057563327
66	0.6946480637
67	0.6826414687
68	0.6743651704
69	0.6673339044
70	0.6553999499
71	0.6469916215
72	0.6437791246
73	0.6355967488
74	0.6193149411
75	0.608834083
76	0.6061334648
77	0.5963990371
78	0.591754705
79	0.5810641201
80	0.5723130939
81	0.5647495711
82	0.5587871527
83	0.5503735256
84	0.5434370458
85	0.5372589292
86	0.5358239373
87	0.5260145473
88	0.519365126
89	0.5170500572
90	0.5077276815
91	0.497851525
92	0.4934817496
93	0.4883905009
94	0.4831416576
95	0.4793301996
96	0.474058345
97	0.4692532237
98	0.4619268346
99	0.4600933481
