iter	RMSE
0	5400.888757
1	5229.527904
2	5068.030674
3	4910.623755
4	4759.226376
5	4610.427068
6	4466.768619
7	4332.982156
8	4209.338421
9	4082.47378
10	3959.876602
11	3843.976621
12	3735.414379
13	3626.884238
14	3524.70685
15	3427.291201
16	3331.337644
17	3238.994704
18	3150.999852
19	3067.371127
20	2985.469355
21	2906.028092
22	2829.746103
23	2758.402796
24	2693.227101
25	2623.859902
26	2562.901518
27	2500.287647
28	2440.664106
29	2382.822846
30	2329.478856
31	2274.921607
32	2224.938965
33	2178.084443
34	2130.700469
35	2085.774735
36	2045.04996
37	2004.473125
38	1967.016306
39	1926.905965
40	1890.683245
41	1856.3865
42	1823.809844
43	1793.422845
44	1763.388508
45	1736.438831
46	1710.41109
47	1683.509801
48	1655.868628
49	1634.678387
50	1611.893723
51	1589.614918
52	1569.340896
53	1547.486619
54	1529.796716
55	1512.587382
56	1499.949283
57	1482.428496
58	1465.301393
59	1450.696158
60	1436.022587
61	1422.04018
62	1407.324663
63	1393.495373
64	1380.257532
65	1368.236715
66	1358.719614
67	1349.324618
68	1339.473617
69	1331.069573
70	1321.718647
71	1313.746868
72	1306.043332
73	1297.708067
74	1289.282408
75	1282.42578
76	1274.573975
77	1265.500161
78	1258.367737
79	1253.636443
80	1245.542785
81	1238.629568
82	1231.789962
83	1226.618367
84	1220.304137
85	1213.899276
86	1207.715989
87	1201.488172
88	1196.530666
89	1192.173251
90	1188.414763
91	1182.749963
92	1177.985715
93	1174.445778
94	1169.358693
95	1165.797392
96	1161.072328
97	1157.87341
98	1155.036024
99	1151.738591
100	1148.309365
101	1145.262234
102	1142.594816
103	1139.35961
104	1136.120844
105	1131.971748
106	1127.385958
107	1124.49719
108	1120.043847
109	1117.929866
110	1114.148927
111	1110.478954
112	1106.963551
113	1105.025703
114	1103.063144
115	1099.356671
116	1095.868064
117	1092.002773
118	1089.310996
119	1085.817459
120	1083.136454
121	1080.673806
122	1077.584747
123	1075.37952
124	1071.29397
125	1068.850642
126	1066.934071
127	1064.682612
128	1060.787131
129	1059.25971
130	1057.382667
131	1054.678796
132	1052.351648
133	1049.834727
134	1047.742345
135	1044.973827
136	1042.714329
137	1039.607965
138	1037.799018
139	1036.458482
140	1034.442545
141	1032.204211
142	1030.860862
143	1028.187536
144	1026.276067
145	1024.448348
146	1022.626971
147	1019.07605
148	1016.269164
149	1014.367027
150	1011.217513
151	1009.885244
152	1007.998291
153	1005.816529
154	1004.414714
155	1002.316158
156	1000.473549
157	998.4718967
158	995.9369316
159	994.2894953
160	992.2998632
161	990.3997736
162	987.7650133
163	986.223149
164	984.5840061
165	982.4496776
166	981.1715048
167	979.0115209
168	977.3256758
169	975.0986737
170	973.5918907
171	971.9242603
172	970.3273398
173	969.219574
174	967.7857172
175	966.430018
176	964.8406313
177	963.4989437
178	961.7690959
179	960.3669527
180	959.373896
181	958.09538
182	955.5502357
183	954.449267
184	952.5481389
185	951.490912
186	950.2297519
187	948.5768949
188	947.458686
189	944.647567
190	943.6916582
191	942.9958405
192	941.8706582
193	940.2699447
194	938.614643
195	937.6047669
196	936.1755078
197	934.7696932
198	933.8609478
199	932.7464385
200	931.6359975
201	930.5253048
202	928.4646066
203	927.3559885
204	926.4638328
205	925.3762208
206	923.9786401
207	922.7385091
208	921.9443341
209	920.4812989
210	919.2264626
211	917.4983079
212	916.9483168
213	916.0993955
214	915.1972366
215	914.2522115
216	913.6955669
217	912.5973918
218	912.0613746
219	911.0075654
220	910.113439
221	909.3910546
222	908.2037603
223	907.4893557
224	906.6843826
225	903.6044455
226	902.368469
227	901.5339947
228	900.3873358
229	899.653651
230	898.4473437
