iter	Passed	Remaining
0	60	60319
1	64	32218
2	67	22504
3	71	17915
4	78	15613
5	79	13111
6	79	11321
7	80	9974
8	81	8927
9	81	8116
10	82	7451
11	83	6874
12	84	6389
13	84	5972
14	85	5612
15	86	5294
16	86	5019
17	87	4770
18	88	4548
19	88	4349
20	89	4170
21	90	4005
22	90	3855
23	91	3729
24	92	3602
25	92	3483
26	93	3374
27	94	3274
28	94	3172
29	95	3083
30	96	3001
31	96	2924
32	97	2852
33	98	2785
34	98	2722
35	99	2661
36	100	2605
37	101	2563
38	101	2511
39	102	2463
40	103	2415
41	103	2369
42	104	2326
43	105	2285
44	105	2246
45	106	2208
46	107	2172
47	107	2136
48	108	2103
49	109	2071
50	109	2041
51	110	2013
52	111	1986
53	111	1959
54	112	1933
55	113	1907
56	113	1884
57	114	1860
58	115	1837
59	115	1814
60	116	1792
61	117	1771
62	117	1751
63	118	1731
64	119	1711
65	119	1693
66	120	1675
67	120	1657
68	121	1640
69	122	1624
70	122	1608
71	123	1592
72	124	1577
73	124	1562
74	125	1548
75	126	1534
76	126	1521
77	127	1507
78	128	1494
79	128	1481
80	129	1468
81	130	1456
82	130	1444
83	131	1432
84	131	1420
85	132	1409
86	133	1397
87	133	1386
88	134	1376
89	135	1365
90	135	1356
91	136	1346
92	137	1336
93	137	1327
94	138	1318
95	139	1309
96	139	1300
97	140	1289
98	140	1280
99	141	1272
100	142	1264
101	142	1256
102	143	1248
103	144	1240
104	144	1232
105	145	1224
106	145	1217
107	146	1210
108	147	1203
109	147	1196
110	148	1189
111	149	1182
112	149	1175
113	150	1169
114	151	1162
115	151	1156
116	152	1149
117	152	1143
118	153	1137
119	154	1131
120	154	1125
121	155	1119
122	156	1113
123	156	1107
124	157	1102
125	158	1097
126	158	1092
127	159	1086
128	160	1082
129	160	1076
130	161	1071
131	162	1066
132	162	1061
133	163	1056
134	164	1051
135	164	1046
136	165	1041
137	166	1037
138	166	1032
139	167	1027
140	167	1023
141	168	1018
142	169	1014
143	191	1140
144	195	1152
145	196	1146
146	196	1139
147	202	1163
148	204	1166
149	206	1172
150	207	1166
151	212	1182
152	214	1189
153	217	1195
154	220	1204
155	222	1206
156	225	1212
157	228	1216
158	230	1219
159	233	1225
160	236	1230
161	238	1234
162	241	1241
163	244	1246
164	244	1239
165	248	1249
166	250	1250
167	252	1252
168	255	1256
169	258	1261
170	260	1264
171	263	1267
172	265	1269
173	267	1269
174	269	1272
175	272	1275
176	274	1277
177	276	1278
178	278	1277
179	280	1276
180	282	1279
181	284	1279
182	287	1281
183	287	1273
184	288	1272
185	291	1275
186	293	1277
187	296	1279
188	297	1278
189	300	1280
190	302	1280
191	304	1282
192	306	1283
193	307	1276
194	310	1281
195	312	1283
196	314	1283
197	316	1282
198	318	1283
199	321	1285
200	323	1285
201	325	1285
202	327	1287
203	329	1286
204	332	1290
205	334	1288
206	336	1290
207	338	1290
208	340	1288
209	342	1288
210	344	1289
211	347	1291
212	349	1290
213	351	1289
214	352	1286
215	355	1288
216	357	1289
217	359	1288
218	361	1288
219	363	1287
220	365	1288
221	367	1289
222	368	1283
223	368	1277
224	372	1283
225	374	1283
226	376	1282
227	378	1281
228	379	1277
229	380	1272
230	382	1274
231	386	1278
232	387	1275
233	389	1275
234	391	1273
235	394	1277
236	396	1277
237	399	1277
238	400	1276
239	403	1276
240	405	1276
241	407	1276
242	408	1274
243	410	1272
244	414	1276
245	416	1276
246	418	1276
247	420	1275
248	422	1275
249	425	1275
250	427	1274
251	429	1274
252	432	1275
253	433	1273
